a52dec 0.7.4-11
aalib 1.4rc5-14
abook 0.6.1-7
accountsservice 0.6.55-3
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-icon-theme 41.0-1
alacritty 0.9.0-3
alacritty-themes 4.1.6-3
alsa-card-profiles 1:0.3.42-2
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
aom 3.2.0-1
arandr 0.1.10-7
arc-gtk-theme-eos 20211018-1
arc-x-icons-theme 2.1-3
archlinux-keyring 20211028-1
argon2 20190702-4
asciidoc 9.1.1-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.6-5
authy 1.9.0-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome 4.3-3
b43-fwcutter 019-3
babl 0.1.88-2
base 2-2
bash 5.1.012-1
bash-completion 2.11-2
bc 1.07.1-4
bind 9.16.23-3
binutils 2.36.1-3
bison 3.8.2-1
bitlbee 3.6-2
bitlbee-discord-git 275.607f988-1
bitwarden 1.30.0-1
blas 3.10.0-1
blueberry 1.4.6-1
blueman 2.2.3-2
bluez 5.62-1
bluez-hid2hci 5.62-1
bluez-libs 5.62-1
bluez-tools 0.2.0-5
bluez-utils 5.62-1
boost 1.78.0-1
boost-libs 1.78.0-1
botan 2.18.2-3
box2d 2.4.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-7
bspwm 0.9.10-1
btrfs-progs 5.15.1-3
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.73.1-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
calc 2.14.0.8-1
cantarell-fonts 1:0.303.1-1
capitaine-cursors 4-1
cava 0.7.4-1
cdparanoia 10.2-8
celt 0.11.3-4
chromaprint 1.5.1-1
cifs-utils 6.14-1
clucene 2.3.3.4-11
cmake 3.22.1-5
colord 1.4.5-4
conky 1.12.2-1
coreutils 9.0-2
cracklib 2.9.7-2
crda 4.14-4
cryptsetup 2.4.2-3
curl 7.80.0-1
d-feet 0.3.16-2
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.14-2
dhclient 4.4.2.P1-4
dialog 1:1.3_20211214-1
diffutils 3.8-1
ding-libs 0.6.1-3
discord 0.0.16-1
discord-ptb 0.0.27-1
djvulibre 3.5.28-3
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-1
double-conversion 3.1.7-1
downgrade 10.1.0-1
doxygen 1.9.2-1
dropbox 138.4.2392-1
e2fsprogs 1.46.4-1
edk2-shell 202111-5
efibootmgr 17-2
efitools 1.9.2-3
efivar 37-4
electron13 13.6.3-1
electron14 14.2.2-1
electron15 15.3.3-1
elfutils 0.186-2
ell 0.46-1
emacs 27.2-1
enchant 2.3.2-1
endeavouros-keyring 1-5
endeavouros-mirrorlist 4.3-1
endeavouros-theming 7.0-1
endeavouros-xfce4-terminal-colors 2-1
eos-bash-shared 1.10.27-1
eos-hooks 1.4.18-1
eos-log-tool 1.4.12-1.1
eos-rankmirrors 2.0.5-1
eos-translations 1.1.60-1
eos-update-notifier 1.14-2
ethtool 1:5.15-1
exa 0.10.1-4
exfatprogs 1.1.3-1
exiv2 0.27.5-1
exo 4.16.3-1
expat 2.4.2-1
expect 5.45.4-2
f2fs-tools 1.14.0-3
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.26-1
fcron 3.2.1-5
feh 3.7.2-1
ffmpeg 2:4.4.1-1
ffmpegthumbnailer 2.2.2-2
fftw 3.3.10-1
file 5.41-1
file-roller 3.40.0-1
filesystem 2021.12.07-1
findutils 4.8.0-1
firefox 95.0.2-1
flac 1.3.3-3
flex 2.6.4-3
